"","county","lat","lon","bachelor_degree","per_capita_income"
"1","Abbeville, SC",34.2476,-82.474,18.32,40596
"2","Accomack, VA",37.7449,-75.6727,19.71,57520
"3","Ada, ID",43.4673,-116.224,40.06,62610
"4","Adair, IA",41.3297,-94.4707,19.51,61765
"5","Adair, KY",37.1179,-85.3011,18.37,41385
"6","Adair, MO",40.1904,-92.6009,31.22,37898
"7","Adair, OK",35.9006,-94.6623,10.78,41496
"8","Adams, CO",39.8701,-104.1631,25.16,53183
"9","Adams, IA",41.0282,-94.6995,17.32,62223
"10","Adams, ID",44.8572,-116.5409,18.77,44261
"11","Adams, IL",39.9788,-91.1866,25.21,55254
"12","Adams, IN",40.7462,-84.9366,14.95,47209
"13","Adams, MS",31.4734,-91.3366,17.78,42911
"14","Adams, ND",46.1134,-102.4968,23.49,57586
"15","Adams, NE",40.5222,-98.5011,25.59,58072
"16","Adams, OH",38.8204,-83.4795,15.52,43092
"17","Adams, PA",39.8953,-77.2259,22.59,55752
"18","Adams, WA",46.9968,-118.4708,13.82,47867
"19","Adams, WI",43.9464,-89.7748,14.77,46002
"20","Addison, VT",44.0288,-73.078,40.96,59540
"21","Aiken, SC",33.5377,-81.6614,27.78,51057
"22","Aitkin, MN",46.6066,-93.4206,18.44,49255
"23","Alachua, FL",29.6809,-82.3552,44.08,52367
"24","Alamance, NC",36.0473,-79.4006,25.34,48118
"25","Alameda, CA",37.6798,-121.8648,48.67,99746
"26","Alamosa, CO",37.5466,-105.7781,24.48,44507
"27","Albany, NY",42.6169,-73.977,43.55,70947
"28","Albany, WY",41.723,-105.6758,55.27,48528
"29","Alcona, MI",44.6843,-83.5837,18.41,49262
"30","Alcorn, MS",34.8815,-88.5944,17.87,44255
"31","Aleutians East Borough, AK",55.8579,-161.4064,16.55,60174
"32","Aleutians West Census Area, AK",53.6298,-166.6587,17.02,65812
"33","Alexander, IL",37.1528,-89.3477,11.52,51974
"34","Alexander, NC",35.9161,-81.181,14.23,46513
"35","Alfalfa, OK",36.7313,-98.3251,22.5,43695
"36","Alger, MI",46.425,-86.8882,19.29,42171
"37","Allamakee, IA",43.2887,-91.3442,18.2,53807
"38","Allegan, MI",42.5942,-85.8847,23.55,53375
"39","Allegany, MD",39.5807,-78.5952,19.34,47347
"40","Allegany, NY",42.2585,-78.0236,22.89,42569
"41","Alleghany, NC",36.4705,-81.1261,20.76,45206
"42","Allegheny, PA",40.4317,-80.0043,42.5,70580
"43","Allen, IN",41.0968,-85.0703,28.93,54681
"44","Allen, KS",37.8864,-95.2995,18.18,49326
"45","Allen, KY",36.7821,-86.2158,17.27,40682
"46","Allen, OH",40.7849,-84.1386,18.65,50353
"47","Allendale, SC",32.9515,-81.3641,10.44,41814
"48","Alpena, MI",45.032,-83.6662,17.95,48428
"49","Alpine, CA",38.6305,-119.8446,38.4,72734
"50","Amador, CA",38.4637,-120.7334,18.1,49752
"51","Amelia, VA",37.3461,-78.0427,18.18,50973
"52","Amherst, VA",37.6,-79.1631,21.33,44051
"53","Amite, MS",31.1758,-90.804,11.96,39407
"54","Anchorage Municipality, AK",61.1094,-149.2032,36.58,72032
"55","Anderson, KS",38.2169,-95.2968,18.65,52810
"56","Anderson, KY",38.0072,-84.9809,22.7,45331
"57","Anderson, SC",34.5146,-82.6588,24.11,46894
"58","Anderson, TN",36.1062,-84.2281,22.82,50901
"59","Anderson, TX",31.7951,-95.6887,11.3,42444
"60","Andrew, MO",39.9749,-94.8019,26.56,50693
"61","Andrews, TX",32.2885,-102.6379,14.93,52943
"62","Androscoggin, ME",44.1975,-70.2021,22.72,49766
"63","Angelina, TX",31.2769,-94.6355,18.18,46170
"64","Anne Arundel, MD",38.9754,-76.6531,43,76059
"65","Anoka, MN",45.2255,-93.243,30.36,59397
"66","Anson, NC",35.0087,-80.0992,11.07,47744
"67","Antelope, NE",42.1782,-98.0677,18.04,74129
"68","Antrim, MI",45.011,-85.1136,29.57,55759
"69","Apache, AZ",35.3025,-109.4451,12.51,45671
"70","Appanoose, IA",40.743,-92.868,18.4,46396
"71","Appling, GA",31.7234,-82.3271,9.51,41863
"72","Appomattox, VA",37.3799,-78.7934,21.46,44943
"73","Aransas, TX",28.2209,-96.8754,23.17,59878
"74","Arapahoe, CO",39.6519,-104.2834,43.4,74267
"75","Archer, TX",33.6138,-98.6883,22.3,60101
"76","Archuleta, CO",37.2108,-107.0588,39.68,52312
"77","Arenac, MI",44.0369,-83.9226,12.9,47470
"78","Arkansas, AR",NA,NA,23.82,56733
"79","Arlington, VA",38.8811,-77.1079,75.84,107603
"80","Armstrong, PA",40.8485,-79.4535,18.11,54198
"81","Armstrong, TX",34.9658,-101.3572,25.71,61382
"82","Aroostook, ME",46.5366,-68.304,19.77,49883
"83","Arthur, NE",41.5697,-101.6961,24.1,58171
"84","Ashe, NC",36.4146,-81.4996,20.04,44203
"85","Ashland, OH",40.8114,-82.2674,21.99,45594
"86","Ashland, WI",46.3491,-90.7366,19.21,46418
"87","Ashley, AR",33.2027,-91.7957,12.22,42844
"88","Ashtabula, OH",41.7343,-80.7618,14.93,46280
"89","Asotin, WA",46.2299,-117.1874,23.37,55564
"90","Atascosa, TX",28.9347,-98.5218,15.31,46737
"91","Atchison, KS",39.5364,-95.3379,20.79,44710
"92","Atchison, MO",40.4232,-95.4182,22.7,54179
"93","Athens, OH",39.3556,-82.0716,31.81,40663
"94","Atkinson, GA",31.302,-82.8413,12.24,35527
"95","Atlantic, NJ",39.5098,-74.6941,28.78,58310
"96","Atoka, OK",34.4595,-95.9621,16.36,36195
"97","Attala, MS",33.0829,-89.5725,15.19,42044
"98","Audrain, MO",39.202,-91.7624,14.31,44319
"99","Audubon, IA",41.6815,-94.9186,18.79,62773
"100","Auglaize, OH",40.515,-84.2245,19.17,54964
"101","Aurora, SD",43.7246,-98.5603,20.32,54512
"102","Austin, TX",29.8495,-96.275,22.95,58284
"103","Autauga, AL",32.5081,-86.6513,28.32,48347
"104","Avery, NC",36.0994,-81.9277,23.66,43022
"105","Baca, CO",37.3182,-102.5627,21.95,52905
"106","Bacon, GA",31.5642,-82.446,9.29,39471
"107","Bailey, TX",34.0706,-102.8295,17.38,51709
"108","Baker, FL",30.3606,-82.3149,14.36,40735
"109","Baker, GA",31.2669,-84.4974,21.38,51216
"110","Baker, OR",44.6697,-117.7972,25,48107
"111","Baldwin, AL",30.7725,-87.7842,31.91,54659
