"","county","FIPS","state","bachelor_degree","per_capita_income"
"1","Abbeville, SC",45001,"SC",18.32,40596
"2","Accomack, VA",51001,"VA",19.71,57520
"3","Ada, ID",16001,"ID",40.06,62610
"4","Adair, IA",19001,"IA",19.51,61765
"5","Adair, KY",21001,"KY",18.37,41385
"6","Adair, MO",29001,"MO",31.22,37898
"7","Adair, OK",40001,"OK",10.78,41496
"8","Adams, CO",8001,"CO",25.16,53183
"9","Adams, IA",19003,"IA",17.32,62223
"10","Adams, ID",16003,"ID",18.77,44261
"11","Adams, IL",17001,"IL",25.21,55254
"12","Adams, IN",18001,"IN",14.95,47209
"13","Adams, MS",28001,"MS",17.78,42911
"14","Adams, ND",38001,"ND",23.49,57586
"15","Adams, NE",31001,"NE",25.59,58072
"16","Adams, OH",39001,"OH",15.52,43092
"17","Adams, PA",42001,"PA",22.59,55752
"18","Adams, WA",53001,"WA",13.82,47867
"19","Adams, WI",55001,"WI",14.77,46002
"20","Addison, VT",50001,"VT",40.96,59540
"21","Aiken, SC",45003,"SC",27.78,51057
"22","Aitkin, MN",27001,"MN",18.44,49255
"23","Alachua, FL",12001,"FL",44.08,52367
"24","Alamance, NC",37001,"NC",25.34,48118
"25","Alameda, CA",6001,"CA",48.67,99746
"26","Alamosa, CO",8003,"CO",24.48,44507
"27","Albany, NY",36001,"NY",43.55,70947
"28","Albany, WY",56001,"WY",55.27,48528
"29","Alcona, MI",26001,"MI",18.41,49262
"30","Alcorn, MS",28003,"MS",17.87,44255
"31","Aleutians East Borough, AK",2013,"AK",16.55,60174
"32","Aleutians West Census Area, AK",2016,"AK",17.02,65812
"33","Alexander, IL",17003,"IL",11.52,51974
"34","Alexander, NC",37003,"NC",14.23,46513
"35","Alfalfa, OK",40003,"OK",22.5,43695
"36","Alger, MI",26003,"MI",19.29,42171
"37","Allamakee, IA",19005,"IA",18.2,53807
"38","Allegan, MI",26005,"MI",23.55,53375
"39","Allegany, MD",24001,"MD",19.34,47347
"40","Allegany, NY",36003,"NY",22.89,42569
"41","Alleghany, NC",37005,"NC",20.76,45206
"42","Allegheny, PA",42003,"PA",42.5,70580
"43","Allen, IN",18003,"IN",28.93,54681
"44","Allen, KS",20001,"KS",18.18,49326
"45","Allen, KY",21003,"KY",17.27,40682
"46","Allen, OH",39003,"OH",18.65,50353
"47","Allendale, SC",45005,"SC",10.44,41814
"48","Alpena, MI",26007,"MI",17.95,48428
"49","Alpine, CA",6003,"CA",38.4,72734
"50","Amador, CA",6005,"CA",18.1,49752
"51","Amelia, VA",51007,"VA",18.18,50973
"52","Amherst, VA",51009,"VA",21.33,44051
"53","Amite, MS",28005,"MS",11.96,39407
"54","Anchorage Municipality, AK",2020,"AK",36.58,72032
"55","Anderson, KS",20003,"KS",18.65,52810
"56","Anderson, KY",21005,"KY",22.7,45331
"57","Anderson, SC",45007,"SC",24.11,46894
"58","Anderson, TN",47001,"TN",22.82,50901
"59","Anderson, TX",48001,"TX",11.3,42444
"60","Andrew, MO",29003,"MO",26.56,50693
"61","Andrews, TX",48003,"TX",14.93,52943
"62","Androscoggin, ME",23001,"ME",22.72,49766
"63","Angelina, TX",48005,"TX",18.18,46170
"64","Anne Arundel, MD",24003,"MD",43,76059
"65","Anoka, MN",27003,"MN",30.36,59397
"66","Anson, NC",37007,"NC",11.07,47744
"67","Antelope, NE",31003,"NE",18.04,74129
"68","Antrim, MI",26009,"MI",29.57,55759
"69","Apache, AZ",4001,"AZ",12.51,45671
"70","Appanoose, IA",19007,"IA",18.4,46396
"71","Appling, GA",13001,"GA",9.51,41863
"72","Appomattox, VA",51011,"VA",21.46,44943
"73","Aransas, TX",48007,"TX",23.17,59878
"74","Arapahoe, CO",8005,"CO",43.4,74267
"75","Archer, TX",48009,"TX",22.3,60101
"76","Archuleta, CO",8007,"CO",39.68,52312
"77","Arenac, MI",26011,"MI",12.9,47470
"78","Arkansas, AR",5000,"AR",23.82,56733
"79","Arlington, VA",51013,"VA",75.84,107603
"80","Armstrong, PA",42005,"PA",18.11,54198
"81","Armstrong, TX",48011,"TX",25.71,61382
"82","Aroostook, ME",23003,"ME",19.77,49883
"83","Arthur, NE",31005,"NE",24.1,58171
"84","Ashe, NC",37009,"NC",20.04,44203
"85","Ashland, OH",39005,"OH",21.99,45594
"86","Ashland, WI",55003,"WI",19.21,46418
"87","Ashley, AR",5003,"AR",12.22,42844
"88","Ashtabula, OH",39007,"OH",14.93,46280
"89","Asotin, WA",53003,"WA",23.37,55564
